LD,REG8,REG_D,REG8,REG_B,1,4,0,0x50,
LD,REG8,REG_D,REG8,REG_C,1,4,0,0x51,
LD,REG8,REG_D,REG8,REG_D,1,4,0,0x52,
LD,REG8,REG_D,REG8,REG_E,1,4,0,0x53,
LD,REG8,REG_D,REG8,REG_H,1,4,0,0x54,
LD,REG8,REG_D,REG8,REG_L,1,4,0,0x55,
LD,REG8,REG_D,REG16_INDIRECT,REG16_HL,1,8,0,0x56,
LD,REG8,REG_D,REG8,REG_A,1,4,0,0x57,
LD,REG8,REG_E,REG8,REG_B,1,4,0,0x58,
LD,REG8,REG_E,REG8,REG_C,1,4,0,0x59,
LD,REG8,REG_E,REG8,REG_D,1,4,0,0x5a,
LD,REG8,REG_E,REG8,REG_E,1,4,0,0x5b,
LD,REG8,REG_E,REG8,REG_H,1,4,0,0x5c,
LD,REG8,REG_E,REG8,REG_L,1,4,0,0x5d,
LD,REG8,REG_E,REG16_INDIRECT,REG16_HL,1,8,0,0x5e,
LD,REG8,REG_E,REG8,REG_A,1,4,0,0x5f,
LD,REG8,REG_H,REG8,REG_B,1,4,0,0x60,
LD,REG8,REG_H,REG8,REG_C,1,4,0,0x61,
LD,REG8,REG_H,REG8,REG_D,1,4,0,0x62,
LD,REG8,REG_H,REG8,REG_E,1,4,0,0x63,
LD,REG8,REG_H,REG8,REG_H,1,4,0,0x64,
LD,REG8,REG_H,REG8,REG_L,1,4,0,0x65,
LD,REG8,REG_H,REG16_INDIRECT,REG16_HL,1,8,0,0x66,
LD,REG8,REG_H,REG8,REG_A,1,4,0,0x67,
LD,REG8,REG_L,REG8,REG_B,1,4,0,0x68,
LD,REG8,REG_L,REG8,REG_C,1,4,0,0x69,
LD,REG8,REG_L,REG8,REG_D,1,4,0,0x6a,
LD,REG8,REG_L,REG8,REG_E,1,4,0,0x6b,
LD,REG8,REG_L,REG8,REG_H,1,4,0,0x6c,
LD,REG8,REG_L,REG8,REG_L,1,4,0,0x6d,
LD,REG8,REG_L,REG16_INDIRECT,REG16_HL,1,8,0,0x6e,
LD,REG8,REG_L,REG8,REG_A,1,4,0,0x6f,
LD,REG16_INDIRECT,REG16_HL,REG8,REG_B,1,8,0,0x70,
LD,REG16_INDIRECT,REG16_HL,REG8,REG_C,1,8,0,0x71,
LD,REG16_INDIRECT,REG16_HL,REG8,REG_D,1,8,0,0x72,
LD,REG16_INDIRECT,REG16_HL,REG8,REG_E,1,8,0,0x73,
LD,REG16_INDIRECT,REG16_HL,REG8,REG_H,1,8,0,0x74,
LD,REG16_INDIRECT,REG16_HL,REG8,REG_L,1,8,0,0x75,
HALT,NONE,REG_A,NONE,REG_A,1,4,0,0x76,
